numTokens,numLexTokens,avgLexVal,avgLexAro
25,9,0.7030562553836979,0.7550773398346917
182,68,0.30296909066351707,0.2926577698271809
177,57,0.24267843231952768,0.2758187935222825
256,98,0.35722723285247443,0.39527638358069744
59,25,0.7318914838968589,0.7418031520235102
209,76,0.6840573382987062,0.7036808429204688
184,60,0.5550254472741176,0.5169931277717701
495,167,0.40789527217852967,0.40754944105300245
349,112,0.18487450624415452,0.17872422134827493
37,14,0.36765410338296933,0.35814877825650776
59,32,0.4244337152272352,0.3530595409363313
56,21,0.6395074648340391,0.6573619577030775
283,104,0.629740063715141,0.6412910856797379
277,91,0.6102205513009424,0.607814118575894
97,36,0.2694830051537823,0.24229860905119022
147,50,0.452243123012833,0.45783772989246296
88,29,0.3975075294804284,0.3927789908259846
136,45,0.33018862904097346,0.3738887961839848
150,50,0.6143737112251467,0.6420820863780969
103,32,0.6133632751382416,0.6430231217838352
198,72,0.20506991462798713,0.2234032682346944
315,106,0.37027818335835483,0.3582308263830026
50,17,0.8923044337200953,0.9924891607222432
437,153,0.309981314038418,0.3242375138904499
696,237,0.4855233333028373,0.5177086622709928
24,7,1.2088948709188678,1.3223374118800966
81,25,0.43388521915369893,0.49842949092617844
287,124,0.619070313967744,0.6154396165623263
752,291,0.42149989748208355,0.4423253605223042
128,46,0.39413480807087764,0.38029510927864474
241,81,0.32121486581567155,0.33462112613655826
74,31,0.4229577729626323,0.4008041849040821
79,23,0.7219102177516773,0.7035648660696497
43,20,0.3422184028848334,0.43606124968188764
81,30,0.3926477498114008,0.3698498965635016
51,21,0.784079323218325,0.7970237258261881
521,188,0.4940978129824425,0.49695944893346317
289,98,0.291574920997673,0.28054563254620607
228,69,0.1488432839257133,0.13213679407513107
444,143,0.4725848880196824,0.5143656459168627
84,27,0.06515282681103504,0.05650544785894976
155,55,0.7687337519777254,0.788713053008415
129,47,0.5188572089232002,0.5335325915601973
309,108,0.23639030096038086,0.22402958409169654
155,61,0.8017674940409314,0.8467337524918738
46,19,0.34514436633037676,0.3452404299457602
108,37,0.6589128535774089,0.7094520785823174
243,103,0.34143941047686954,0.3631434112704185
172,58,0.5517423389083385,0.5940508275823556
713,265,0.4373764197226986,0.4704075717855269
112,47,0.2452357872495372,0.2896701696113366
46,16,0.7366905306376446,0.740546240898691
153,54,0.42099600521701713,0.37649669086882415
35,15,0.21288053537740062,0.22005659922604706
255,90,0.26889726932520985,0.2614313136699108
414,139,0.5478281824595224,0.5689722318452943
255,90,0.26889726932520985,0.2614313136699108
453,162,0.2798938246998913,0.2565013771306272
41,17,0.8395326483602105,0.8586066329207327
468,168,0.24463233051913016,0.22013214107282036
74,27,0.29601033390182796,0.3404992565684062
97,34,0.7652270617689139,0.7836612155291094
84,32,0.5667259891201059,0.5765905540692158
137,51,0.6747034054428462,0.6535182492831225
197,76,0.383420335434624,0.3471743033765573
112,33,0.2929902580626669,0.3289645799737407
32,20,0.48882819350677187,0.5402407319346678
74,27,0.522755005457679,0.4870106623510332
510,174,0.4219863068636726,0.4587299942155852
24,7,0.5666575685059312,0.5637606114483799
164,54,0.3613132948101311,0.38949916373553645
207,68,0.32990175631819074,0.32346517773549033
95,34,0.4721893967011385,0.46269451199543804
58,26,1.0670151060973228,1.1369004600891452
86,31,0.6726831492890928,0.6394170194709757
138,38,0.47122926201195736,0.4502027116869925
408,172,0.2688518616478105,0.26755011163012515
53,21,0.7308669807048993,0.7279840892912812
122,52,0.6040524402080938,0.5778111019742315
177,70,0.7593722708372502,0.769743781654259
68,28,0.8010206955746565,0.7860195852523306
71,25,0.41688109972728143,0.3829688365936596
282,77,0.6130989561157058,0.6270336834234088
290,99,0.596361099268216,0.5866755554113258
11,3,1.1344859106407583,1.2221185846520057
512,178,0.2519045340750487,0.27058655919127395
224,92,0.6819773435563136,0.6956991666083254
531,183,0.5751062020505393,0.6046735131188695
66,20,0.7521077580899265,0.756184553730741
144,47,0.5381953711420004,0.561441183773799
51,19,0.553932883370428,0.5656974156386346
162,65,0.6415775425703022,0.6864743532364223
327,113,0.5877085157603874,0.6157054745251256
109,33,0.35050263101080176,0.31197453070147574
147,59,0.7836172816514173,0.82959337135255
111,40,0.5229601352122639,0.6035835092573933
124,42,0.5943033547938876,0.6446075927501335
116,37,0.5038029869137314,0.456911723872839
33,16,0.5531300412898623,0.5666670036732507
43,22,0.7929112472869432,0.7903045090006683
59,25,0.12795549478690219,0.12293226157002779
54,20,0.5550454523088793,0.5466019312899968
173,63,0.4484280133904934,0.3993601439856534
90,30,0.9022155085734608,0.9542169832471518
62,24,0.3864607823794877,0.3157372980319047
81,36,0.9849749549048094,1.0344131819993343
178,78,0.8949866075627196,0.9535633594440622
86,27,0.6735576067485314,0.710909770578347
411,152,0.40381103590867073,0.42367386331856255
69,26,0.409446139445022,0.45910603461400173
168,48,0.660092399644797,0.7005215689058106
68,25,0.6560340880714959,0.6515393949667433
216,84,0.86672699024066,0.8918942954706902
62,20,0.9322458893744837,1.038843404358635
21,10,0.49754962662217384,0.45043361499570783
34,11,1.0096547765003168,1.0356380937207557
395,145,0.3816263616205826,0.4004476649502337
100,43,0.21643282187293364,0.1867648913468062
287,98,0.5137897898697062,0.5134135565002828
39,13,0.8560425199082018,0.8780981873401946
167,48,0.4118006914980655,0.3932550810945719
