date,year,month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2021-01-30 08:38:16,2021,1,1.6190000000000002,5.298,1.251,4.523000000000001,2.9739999999999998,2.164,0.993,10.547
2021-01-30 06:31:38,2021,1,5.686,6.154,2.594,9.45,8.247,2.2880000000000003,3.85,14.013000000000002
2021-01-30 05:38:08,2021,1,0.438,0.0,0.18,0.562,0.375,0.546,0.391,0.968
2021-01-30 05:05:06,2021,1,1.0939999999999999,1.5940000000000003,0.625,3.165,3.479,6.337,0.437,6.015
2021-01-29 18:41:37,2021,1,4.187,5.866,2.7650000000000006,10.796,5.218000000000001,4.844,3.319,8.749000000000002
2021-01-29 15:42:26,2021,1,19.671000000000003,13.925,7.595999999999998,22.456999999999997,17.403000000000002,12.318,7.845,31.702
2021-01-29 14:56:42,2021,1,1.2309999999999999,0.555,0.141,3.4059999999999997,2.339,0.188,0.359,9.463
2021-01-29 11:32:36,2021,1,14.700999999999999,4.9,11.339,26.831000000000003,14.684000000000001,26.42700000000001,1.86,31.461000000000006
2021-01-29 11:03:08,2021,1,2.5069999999999997,1.015,1.774,3.086,1.6099999999999999,3.0619999999999994,0.9059999999999999,3.656
2021-01-29 10:56:27,2021,1,3.704,5.743,6.314,9.495999999999999,4.827000000000001,5.743,3.6939999999999995,7.537999999999999
2021-01-29 10:36:54,2021,1,17.899,12.783,5.452999999999999,30.759000000000007,10.506,24.46900000000001,5.634,15.733
2021-01-29 10:13:35,2021,1,5.24,4.196,3.555,8.847,5.402,12.400999999999998,2.664,6.795000000000001
2021-01-29 03:58:24,2021,1,19.804,19.144999999999996,17.973,25.637,30.811,15.698999999999998,4.741999999999999,49.26899999999999
2021-01-29 02:43:18,2021,1,4.523000000000001,6.2090000000000005,3.836,10.765,4.834,3.961,3.43,11.748000000000001
2021-01-29 01:58:15,2021,1,3.3729999999999998,3.8519999999999994,2.313,3.691,2.4979999999999998,2.38,1.444,4.445
2021-01-29 00:52:01,2021,1,4.352,5.712,2.446,6.798,7.273000000000001,6.791999999999999,3.491,14.608
2021-01-29 00:51:19,2021,1,6.396,7.792000000000001,6.702999999999999,13.139000000000001,9.297,8.586,3.156,11.736
2021-01-28 20:04:06,2021,1,5.765,3.3280000000000003,4.218,8.613999999999997,5.774,4.579,1.4060000000000001,7.622999999999999
2021-01-28 19:28:39,2021,1,1.161,0.391,0.696,2.8120000000000003,2.0469999999999997,1.054,0.609,3.9060000000000006
2021-01-28 17:26:43,2021,1,18.969,27.701999999999998,15.153000000000002,23.269,26.877,19.317,12.063,36.050000000000004
2021-01-28 17:24:38,2021,1,3.663,4.242,4.218,2.7,5.425,3.7090000000000005,1.3199999999999998,8.739
2021-01-28 16:39:01,2021,1,8.609,6.573,3.937,7.412000000000002,6.810000000000001,6.974,2.171,14.771999999999998
2021-01-28 16:19:25,2021,1,4.550000000000001,8.277999999999999,4.803999999999999,14.702,4.776,10.503,2.555,12.904
2021-01-28 15:23:01,2021,1,3.225,0.9530000000000001,2.2350000000000003,6.523000000000001,2.384,7.604,0.9369999999999999,5.221
2021-01-28 12:48:55,2021,1,9.651,5.159,9.038,13.785999999999998,8.318000000000001,12.417,1.109,11.084
2021-01-28 05:54:15,2021,1,8.756999999999998,11.645,9.334,19.592999999999996,16.163,18.054999999999996,2.486,28.438
2021-01-28 05:12:31,2021,1,20.430999999999997,27.479000000000006,19.256999999999998,28.874999999999993,38.54999999999999,27.318999999999996,6.437,56.04799999999998
2021-01-28 04:44:51,2021,1,3.5429999999999997,7.532000000000001,3.2560000000000002,5.298,9.938,2.871,3.101,9.359
2021-01-28 04:40:54,2021,1,2.2019999999999995,1.29,1.062,3.05,1.451,0.808,1.0230000000000001,1.7269999999999999
2021-01-28 03:02:37,2021,1,4.127,4.6690000000000005,2.7340000000000004,8.436000000000002,6.611999999999999,8.211,3.047,16.506999999999998
2021-01-28 02:55:01,2021,1,0.0,0.516,0.18,0.133,0.606,0.5,0.523,1.71
2021-01-28 01:53:04,2021,1,12.747000000000003,8.667,5.726000000000001,15.783000000000003,15.453,12.933,4.412999999999999,19.898999999999997
2021-01-28 00:49:15,2021,1,11.105999999999998,14.511999999999999,7.0680000000000005,21.491000000000007,6.975999999999999,17.628,3.9090000000000003,13.884
2021-01-27 23:02:42,2021,1,1.272,2.664,0.728,2.852,3.8850000000000002,0.638,1.5550000000000002,4.428
2021-01-27 22:28:09,2021,1,3.0,3.383,2.6029999999999998,8.572999999999999,3.3529999999999998,6.152,0.624,7.9670000000000005
2021-01-27 22:15:03,2021,1,15.48,17.043,12.077000000000002,24.65599999999999,14.274000000000001,17.845000000000006,6.242,29.996000000000006
2021-01-27 21:56:22,2021,1,4.765,6.849,1.945,10.54,5.835999999999999,9.044,1.179,4.749
2021-01-27 20:14:57,2021,1,11.280000000000001,7.759,7.265,18.698999999999998,9.619,11.010999999999997,8.103,14.435
2021-01-27 17:55:35,2021,1,19.572999999999993,23.839999999999996,19.497000000000003,26.791,34.25600000000001,21.567999999999998,9.211000000000002,40.704
2021-01-27 17:44:51,2021,1,3.431,2.431,1.187,5.287999999999999,1.9930000000000003,3.787,1.733,3.3280000000000003
2021-01-27 17:41:12,2021,1,16.383000000000003,18.557000000000002,13.532,30.976999999999997,15.064000000000002,15.515,4.537,35.938
2021-01-27 16:33:34,2021,1,14.409,9.857,9.394000000000002,19.674000000000003,6.316000000000001,17.668000000000003,3.9749999999999996,9.311
2021-01-27 15:17:01,2021,1,2.74,1.9760000000000002,1.851,5.042,0.606,4.213,1.0070000000000001,6.165000000000001
2021-01-27 14:59:10,2021,1,7.619000000000001,8.528,7.032000000000001,13.509,9.087,11.391999999999998,0.891,14.024000000000001
2021-01-26 05:39:29,2021,1,6.670999999999999,1.399,3.188,10.306000000000001,3.813,3.302,1.7970000000000002,4.093
2021-01-26 03:49:34,2021,1,6.388,4.196,1.4229999999999998,4.853000000000001,4.442,2.249,3.959,5.422000000000001
2021-01-26 03:42:37,2021,1,13.647,15.518000000000002,9.138000000000002,26.314999999999998,9.154999999999998,20.25,3.407,20.64
2021-01-26 03:39:06,2021,1,2.24,1.9380000000000002,1.774,1.641,3.754,2.536,0.914,4.7780000000000005
2021-01-26 01:54:56,2021,1,0.152,1.2349999999999999,0.18,0.234,0.394,0.547,0.0,0.0
2021-01-25 23:59:36,2021,1,2.2359999999999998,1.226,2.61,9.629999999999999,2.29,7.249,0.297,5.758
2021-01-25 23:08:19,2021,1,20.534,26.048000000000005,11.227,35.403000000000006,28.092000000000006,26.596,9.694999999999999,45.667
2021-01-25 20:55:25,2021,1,5.542,2.429,2.7590000000000003,9.796999999999999,1.7280000000000002,5.42,0.734,4.757000000000001
2021-01-25 18:37:37,2021,1,6.039000000000001,5.359999999999999,4.469,5.459,2.6660000000000004,3.992,1.922,12.264000000000001
2021-01-25 18:29:12,2021,1,2.14,4.944,0.633,4.263,4.47,1.6139999999999999,3.249,6.163
2021-01-25 17:42:38,2021,1,21.405000000000005,17.301,14.061,28.991,28.947000000000003,22.003,9.364999999999998,37.52100000000001
2021-01-25 16:09:26,2021,1,0.242,1.423,0.43,1.9729999999999999,1.0310000000000001,0.344,0.563,1.3679999999999999
2021-01-25 15:31:51,2021,1,6.595,6.374,3.7269999999999994,15.035,3.6670000000000007,12.847999999999997,3.218,8.255000000000003
2021-01-25 15:31:46,2021,1,4.839,4.876,3.039,6.432,2.863,5.187,1.8199999999999998,9.982
2021-01-25 15:26:02,2021,1,30.090999999999998,24.753000000000004,17.51,39.95700000000001,29.097,34.147,11.265,65.00999999999999
