numTokens,NVnum,NVscore,PVnum,PVscore,NAnum,NAscore,PAnum,PAscore
93,0,0.0,35,18.906000000000002,0,0.0,35,18.875999999999998
67,3,-2.09716,19,11.467999999999998,3,-2.02612,19,10.902999999999999
461,4,-1.8766399999999999,150,90.72500000000011,4,-1.7663799999999998,150,88.026
86,3,-1.3445799999999999,19,11.061000000000002,3,-1.34088,19,10.882
29,0,0.0,11,6.186,0,0.0,11,6.124
180,11,-4.65978,64,39.985,11,-4.52584,64,38.324
57,0,0.0,24,16.383999999999997,0,0.0,24,15.606000000000002
33,0,0.0,12,7.188000000000001,0,0.0,12,6.76
112,0,0.0,39,23.672000000000008,0,0.0,39,22.723000000000003
116,1,-0.42401999999999995,37,23.556,1,-0.39664,37,22.689999999999998
354,5,-2.77648,127,86.39000000000003,5,-2.6410600000000004,127,83.54500000000002
93,1,-0.48544000000000004,38,24.480000000000004,1,-0.4551,38,23.407
22,0,0.0,6,4.478,0,0.0,6,4.24
451,5,-1.7493599999999996,141,96.21,5,-1.7649000000000001,141,92.28799999999997
172,4,-1.9358399999999998,47,30.072000000000003,4,-1.9365800000000002,47,29.317000000000007
108,2,-1.15144,47,29.035,2,-1.09816,47,27.561000000000007
39,0,0.0,15,8.519,0,0.0,15,8.367
363,7,-3.18496,113,70.70299999999999,7,-2.99996,113,67.351
85,1,-0.64528,24,15.771000000000003,1,-0.62086,24,15.421000000000003
61,2,-1.16328,18,10.817,2,-1.10704,18,10.443
466,9,-4.29348,150,94.12100000000002,9,-4.17878,150,91.30199999999996
117,1,-0.42401999999999995,35,23.387999999999998,1,-0.39294,35,22.4
226,3,-1.41266,87,58.115999999999985,3,-1.39934,87,56.047000000000004
128,4,-2.54042,40,22.354,4,-2.42868,40,22.429999999999996
102,2,-1.3268199999999999,34,19.415,2,-1.26762,34,19.504999999999995
76,1,-0.5402,23,14.861,1,-0.51208,23,14.230000000000002
358,8,-4.63018,145,95.03500000000001,8,-4.40818,145,91.75999999999999
140,0,0.0,48,32.462999999999994,0,0.0,48,31.013000000000012
84,0,0.0,35,23.169000000000004,0,0.0,35,22.028
110,4,-2.3265599999999997,34,21.470000000000002,4,-2.3346999999999998,34,20.316999999999997
135,0,0.0,64,47.69000000000001,0,0.0,64,45.569
67,4,-1.4444800000000002,17,11.065,4,-1.51626,17,10.669000000000002
25,1,-0.3034,8,5.298,1,-0.30191999999999997,8,5.093999999999999
182,8,-3.6666999999999996,60,36.425000000000004,8,-3.4868799999999998,60,35.242999999999995
177,5,-2.86306,52,29.825999999999997,5,-2.73282,52,29.389999999999997
256,4,-2.5737200000000002,94,56.103,4,-2.49528,94,55.22300000000001
59,0,0.0,25,16.445999999999998,0,0.0,25,15.671000000000001
209,3,-1.04636,73,49.05,3,-1.00862,73,46.958
184,3,-1.81448,57,37.032000000000004,3,-1.7404799999999998,57,35.08300000000001
495,7,-2.6380999999999997,159,95.87899999999998,8,-2.59888,159,92.73199999999996
349,8,-3.4077000000000006,104,58.051,8,-3.43878,104,57.05899999999998
37,0,0.0,14,8.110000000000001,0,0.0,14,7.857000000000001
59,0,0.0,32,18.929000000000002,0,0.0,32,17.930999999999997
56,1,-0.57276,20,13.099,1,-0.5476,20,12.538
283,4,-1.14404,100,65.799,4,-1.2469000000000001,100,63.12899999999999
277,5,-2.2917799999999997,86,55.87700000000003,5,-2.2170400000000003,86,53.30999999999999
97,1,-0.4551,35,19.906999999999996,1,-0.42772,35,19.29099999999999
147,3,-1.5747200000000001,47,29.657,3,-1.49554,47,28.627999999999993
88,0,0.0,29,16.986,0,0.0,29,16.447000000000003
136,4,-1.5798999999999999,41,24.619999999999994,4,-1.53698,41,24.261999999999993
150,1,-0.47804,49,31.003000000000007,1,-0.44992,49,29.725999999999992
103,3,-1.00048,29,19.083000000000002,3,-1.0508,29,18.445
198,1,-0.21903999999999998,71,38.533,1,-0.259,71,38.137
315,3,-1.6864599999999998,103,62.04599999999999,3,-1.60802,103,60.04599999999999
50,1,-0.30857999999999997,16,11.209999999999999,1,-0.30266,16,10.818000000000003
437,7,-2.0246399999999998,146,84.87999999999998,7,-2.1755999999999998,146,83.20799999999996
696,13,-6.2071200000000015,224,139.53700000000006,13,-6.07022,224,135.56199999999998
24,0,0.0,7,5.325,0,0.0,7,5.083
81,3,-0.82954,22,13.415000000000003,3,-0.8783799999999999,22,13.241999999999999
