문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
29536,1.0,0.9462,"[(0, 0.013464848), (1, 0.94624126), (2, 0.013396909), (3, 0.013521716), (4, 0.013375261)]"
29537,1.0,0.9417,"[(0, 0.014962136), (1, 0.9416612), (2, 0.01436294), (3, 0.014674849), (4, 0.014338949)]"
29538,1.0,0.884,"[(0, 0.028905654), (1, 0.8839549), (2, 0.029078934), (3, 0.029221246), (4, 0.02883929)]"
29539,1.0,0.994,"[(1, 0.9939672)]"
29540,1.0,0.9752,"[(1, 0.9752367)]"
29541,1.0,0.9747,"[(1, 0.9746661)]"
29542,1.0,0.9572,"[(0, 0.010605245), (1, 0.9571856), (2, 0.010619203), (3, 0.010746254), (4, 0.010843612)]"
29543,1.0,0.9103,"[(0, 0.022327062), (1, 0.91032964), (2, 0.022624187), (3, 0.022373801), (4, 0.02234531)]"
29544,1.0,0.9772,"[(1, 0.9771682)]"
29545,1.0,0.9806,"[(1, 0.9806463)]"
29546,1.0,0.9915,"[(1, 0.9915146)]"
29547,1.0,0.937,"[(0, 0.015758945), (1, 0.93696886), (2, 0.015791874), (3, 0.015644053), (4, 0.015836282)]"
29548,1.0,0.9688,"[(1, 0.96880627), (4, 0.022730488)]"
29549,1.0,0.9847,"[(1, 0.98469406)]"
29550,1.0,0.839,"[(0, 0.040397804), (1, 0.838994), (2, 0.040418755), (3, 0.040112812), (4, 0.040076666)]"
29551,1.0,0.9462,"[(0, 0.013395093), (1, 0.9461503), (2, 0.013416036), (3, 0.013514908), (4, 0.013523668)]"
29552,1.0,0.9526,"[(0, 0.011818675), (1, 0.95255774), (2, 0.011869803), (3, 0.011890153), (4, 0.011863605)]"
29553,1.0,0.9875,"[(1, 0.9875005)]"
29554,1.0,0.8507,"[(1, 0.8507148), (3, 0.14269684)]"
29555,1.0,0.9729,"[(1, 0.9728988)]"
29556,1.0,0.865,"[(0, 0.033473976), (1, 0.86497325), (2, 0.034550115), (3, 0.033356465), (4, 0.033646207)]"
29557,1.0,0.5709,"[(0, 0.014753891), (1, 0.57093734), (2, 0.014409061), (3, 0.38507155), (4, 0.014828204)]"
29558,1.0,0.9515,"[(0, 0.012090295), (1, 0.9514829), (2, 0.011952392), (3, 0.01229143), (4, 0.012183019)]"
29559,3.0,0.5953,"[(0, 0.100149296), (1, 0.101778805), (2, 0.10101925), (3, 0.5952935), (4, 0.10175915)]"
29560,1.0,0.9888,"[(1, 0.9888289)]"
29561,1.0,0.9885,"[(1, 0.9884827)]"
29562,1.0,0.8451,"[(1, 0.8451493), (3, 0.122766934), (4, 0.025028856)]"
29563,1.0,0.9739,"[(1, 0.9738658)]"
29564,1.0,0.9776,"[(1, 0.9775997)]"
29565,1.0,0.9853,"[(1, 0.9853127)]"
29566,1.0,0.9649,"[(1, 0.9649133)]"
29567,1.0,0.9865,"[(1, 0.9864836)]"
29568,1.0,0.9196,"[(1, 0.9196142), (3, 0.0785667)]"
29569,1.0,0.9711,"[(1, 0.97109646)]"
29570,1.0,0.8979,"[(1, 0.89785284), (4, 0.08350114)]"
29571,1.0,0.9648,"[(1, 0.96481764)]"
29572,1.0,0.9728,"[(1, 0.97282314)]"
29573,1.0,0.8378,"[(0, 0.041079946), (1, 0.83775204), (2, 0.040122095), (3, 0.04097987), (4, 0.040065993)]"
29574,1.0,0.8831,"[(0, 0.029263657), (1, 0.8831353), (2, 0.029294146), (3, 0.029541375), (4, 0.02876555)]"
29575,1.0,0.978,"[(1, 0.9779862)]"
29576,1.0,0.9939,"[(1, 0.99390256)]"
29577,1.0,0.9888,"[(1, 0.9887525)]"
29578,1.0,0.9951,"[(1, 0.995105)]"
29579,1.0,0.9746,"[(1, 0.97464687)]"
29580,1.0,0.6917,"[(0, 0.27253193), (1, 0.6916503), (2, 0.011885039), (3, 0.012136838), (4, 0.01179588)]"
29581,4.0,0.7284,"[(0, 0.06672494), (1, 0.06998621), (2, 0.06795334), (3, 0.06692665), (4, 0.7284089)]"
29582,1.0,0.9895,"[(1, 0.9894604)]"
29583,1.0,0.8994,"[(0, 0.025084544), (1, 0.8994363), (2, 0.025265079), (3, 0.025109315), (4, 0.02510476)]"
29584,1.0,0.9374,"[(0, 0.015476579), (1, 0.9373999), (2, 0.01569114), (3, 0.015595125), (4, 0.015837232)]"
29585,1.0,0.9787,"[(1, 0.9786932)]"
29586,1.0,0.6309,"[(1, 0.63089675), (3, 0.3516919)]"
29587,1.0,0.977,"[(1, 0.97697204), (2, 0.01731169)]"
29588,1.0,0.8523,"[(1, 0.8522677), (3, 0.12357748)]"
29589,1.0,0.982,"[(1, 0.981985)]"
29590,1.0,0.9729,"[(1, 0.9729328)]"
29591,1.0,0.9867,"[(1, 0.98669547)]"
29592,1.0,0.9147,"[(0, 0.054926265), (1, 0.9147383), (2, 0.010120593), (3, 0.010101194), (4, 0.010113692)]"
29593,1.0,0.9814,"[(1, 0.9814298)]"
29594,1.0,0.9422,"[(0, 0.014468247), (1, 0.9421689), (2, 0.014410139), (3, 0.014613408), (4, 0.01433929)]"
29595,1.0,0.9727,"[(1, 0.97271544)]"
29596,1.0,0.9889,"[(1, 0.98890895)]"
29597,1.0,0.498,"[(0, 0.37815413), (1, 0.49799496), (2, 0.041826613), (3, 0.041295182), (4, 0.04072917)]"
29598,1.0,0.9662,"[(1, 0.9662338)]"
29599,1.0,0.9933,"[(1, 0.9932807)]"
29600,1.0,0.7984,"[(0, 0.16774487), (1, 0.79838383), (2, 0.011314373), (3, 0.011406129), (4, 0.011150804)]"
29601,1.0,0.893,"[(1, 0.8930213), (3, 0.09837077)]"
29602,1.0,0.6521,"[(1, 0.6520868), (4, 0.32029936)]"
29603,1.0,0.9607,"[(1, 0.960703)]"
29604,1.0,0.9569,"[(0, 0.010720988), (1, 0.95694304), (2, 0.010951234), (3, 0.010637458), (4, 0.0107473275)]"
29605,1.0,0.9797,"[(1, 0.9796855)]"
29606,1.0,0.9739,"[(1, 0.97390085)]"
29607,1.0,0.9374,"[(0, 0.015723493), (1, 0.937382), (2, 0.015482245), (3, 0.015974613), (4, 0.015437694)]"
29608,1.0,0.4524,"[(0, 0.34556663), (1, 0.45235884), (2, 0.06735716), (3, 0.06694623), (4, 0.067771144)]"
29609,1.0,0.9793,"[(1, 0.97926235)]"
29610,1.0,0.8444,"[(1, 0.8444399), (3, 0.14867939)]"
29611,1.0,0.7977,"[(0, 0.05030307), (1, 0.79766786), (2, 0.051012166), (3, 0.050472062), (4, 0.050544847)]"
29612,1.0,0.7906,"[(1, 0.79062873), (3, 0.1818171)]"
29613,1.0,0.9951,"[(1, 0.99507666)]"
29614,1.0,0.9613,"[(1, 0.9613345)]"
29615,1.0,0.9904,"[(1, 0.99043155)]"
29616,1.0,0.8342,"[(1, 0.8342156), (3, 0.16121387)]"
29617,1.0,0.9937,"[(1, 0.9936565)]"
29618,1.0,0.9687,"[(1, 0.96867174)]"
29619,1.0,0.9862,"[(1, 0.9861619)]"
29620,1.0,0.9552,"[(0, 0.011234003), (1, 0.95518285), (2, 0.011229188), (3, 0.011207841), (4, 0.011146112)]"
29621,1.0,0.9575,"[(0, 0.010586769), (1, 0.957514), (2, 0.010588897), (3, 0.0106946435), (4, 0.010615662)]"
29622,1.0,0.9358,"[(0, 0.052628715), (1, 0.9358175)]"
29623,1.0,0.9875,"[(1, 0.9875358)]"
29624,1.0,0.9647,"[(1, 0.96469206)]"
29625,1.0,0.9811,"[(1, 0.981052)]"
29626,1.0,0.972,"[(1, 0.9719849)]"
29627,1.0,0.97,"[(1, 0.9699539)]"
29628,1.0,0.9812,"[(1, 0.9811928)]"
29629,1.0,0.9489,"[(0, 0.012704574), (1, 0.94892836), (2, 0.012667013), (3, 0.012887477), (4, 0.012812607)]"
29630,1.0,0.7407,"[(0, 0.25331914), (1, 0.7406648)]"
29631,1.0,0.6319,"[(1, 0.63194203), (3, 0.28939834), (4, 0.061610695)]"
29632,3.0,0.7973,"[(0, 0.0504889), (1, 0.051002566), (2, 0.05039335), (3, 0.7973281), (4, 0.05078705)]"
29633,1.0,0.9603,"[(1, 0.9603082), (2, 0.02893315)]"
29634,1.0,0.9963,"[(1, 0.99630976)]"
29635,1.0,0.9266,"[(0, 0.018324023), (1, 0.92659897), (2, 0.018251024), (3, 0.018520048), (4, 0.01830595)]"
29636,1.0,0.5999,"[(0, 0.100026995), (1, 0.59988695), (2, 0.10007358), (3, 0.10000323), (4, 0.10000924)]"
29637,1.0,0.9897,"[(1, 0.9897199)]"
29638,1.0,0.9793,"[(1, 0.979267)]"
29639,1.0,0.976,"[(1, 0.9759941)]"
29640,1.0,0.8971,"[(0, 0.025368871), (1, 0.8970826), (2, 0.026111737), (3, 0.026147166), (4, 0.025289599)]"
29641,1.0,0.9761,"[(1, 0.9760565)]"
29642,1.0,0.9266,"[(0, 0.018373841), (1, 0.92655253), (2, 0.018258257), (3, 0.01854967), (4, 0.018265722)]"
29643,1.0,0.9907,"[(1, 0.9906605)]"
29644,1.0,0.9699,"[(1, 0.9699382)]"
29645,1.0,0.9423,"[(0, 0.014377661), (1, 0.94225645), (2, 0.014369374), (3, 0.014640601), (4, 0.014355928)]"
29646,1.0,0.9849,"[(1, 0.98492485)]"
29647,1.0,0.963,"[(1, 0.96298885)]"
29648,1.0,0.9784,"[(1, 0.97839785)]"
29649,1.0,0.9661,"[(1, 0.9660986)]"
29650,1.0,0.9696,"[(1, 0.9695988)]"
29651,1.0,0.9424,"[(0, 0.014355329), (1, 0.9424493), (2, 0.014382016), (3, 0.0144480765), (4, 0.014365271)]"
29652,1.0,0.9844,"[(1, 0.9844048)]"
29653,1.0,0.9792,"[(1, 0.979202)]"
29654,1.0,0.963,"[(1, 0.96295846), (3, 0.0319387)]"
29655,1.0,0.9775,"[(1, 0.97747165)]"
29656,1.0,0.9571,"[(0, 0.010607257), (1, 0.9570713), (2, 0.010744912), (3, 0.010964004), (4, 0.01061256)]"
29657,1.0,0.9663,"[(1, 0.96631885)]"
29658,1.0,0.9327,"[(0, 0.016727334), (1, 0.9326799), (2, 0.016899565), (3, 0.016904613), (4, 0.016788626)]"
29659,1.0,0.9661,"[(1, 0.9660995)]"
29660,1.0,0.9958,"[(1, 0.9958292)]"
29661,1.0,0.9835,"[(1, 0.9834884)]"
29662,1.0,0.8005,"[(1, 0.8005285), (3, 0.18624559)]"
29663,1.0,0.9874,"[(1, 0.98735124)]"
29664,1.0,0.9797,"[(1, 0.97974044)]"
29665,1.0,0.9377,"[(0, 0.015528084), (1, 0.9377276), (2, 0.0155974515), (3, 0.015640737), (4, 0.015506161)]"
29666,1.0,0.9939,"[(1, 0.99390817)]"
29667,1.0,0.9523,"[(0, 0.0118546905), (1, 0.95234513), (2, 0.011839068), (3, 0.012117115), (4, 0.011843951)]"
29668,1.0,0.9458,"[(1, 0.94582224), (3, 0.05170451)]"
29669,1.0,0.7976,"[(0, 0.0169908), (1, 0.79755604), (2, 0.017044451), (3, 0.017126301), (4, 0.1512824)]"
29670,1.0,0.839,"[(1, 0.8390303), (3, 0.14959915)]"
29671,1.0,0.9323,"[(0, 0.017022284), (1, 0.9322991), (2, 0.01681293), (3, 0.017109582), (4, 0.016756143)]"
29672,1.0,0.9373,"[(0, 0.0155324675), (1, 0.93733656), (2, 0.0156111615), (3, 0.015849061), (4, 0.015670761)]"
29673,1.0,0.9155,"[(1, 0.9154677), (3, 0.0783939)]"
29674,1.0,0.9841,"[(1, 0.9840739)]"
29675,1.0,0.9523,"[(0, 0.011858043), (1, 0.95233107), (2, 0.011865335), (3, 0.012039163), (4, 0.011906395)]"
29676,1.0,0.9486,"[(0, 0.012965452), (1, 0.9485844), (2, 0.012707046), (3, 0.012772731), (4, 0.0129703935)]"
29677,1.0,0.9569,"[(1, 0.95686007), (3, 0.033451837)]"
29678,1.0,0.8351,"[(0, 0.0134019), (1, 0.835101), (2, 0.0134713575), (3, 0.013840307), (4, 0.12418545)]"
29679,1.0,0.9721,"[(1, 0.9720678)]"
29680,1.0,0.8817,"[(0, 0.02903417), (1, 0.8817491), (2, 0.02907631), (3, 0.029281165), (4, 0.03085928)]"
29681,1.0,0.9965,"[(1, 0.9964814)]"
29682,1.0,0.7418,"[(1, 0.7417547), (3, 0.23288645)]"
29683,1.0,0.8502,"[(1, 0.85023576), (3, 0.12196484)]"
29684,1.0,0.9699,"[(1, 0.96994704)]"
29685,4.0,0.7985,"[(0, 0.050115112), (1, 0.051161293), (2, 0.05010529), (3, 0.0500967), (4, 0.7985216)]"
29686,1.0,0.9663,"[(1, 0.96625775)]"
29687,1.0,0.9792,"[(1, 0.97920644)]"
29688,1.0,0.9781,"[(1, 0.9781008)]"
29689,1.0,0.7976,"[(0, 0.05062079), (1, 0.7976491), (2, 0.050018184), (3, 0.05144994), (4, 0.050261978)]"
29690,1.0,0.8844,"[(0, 0.02861998), (1, 0.8843512), (2, 0.02877871), (3, 0.029216547), (4, 0.029033586)]"
29691,1.0,0.9803,"[(1, 0.98025966)]"
29692,1.0,0.9739,"[(1, 0.9738761)]"
29693,1.0,0.9523,"[(0, 0.012075716), (1, 0.95226985), (2, 0.011882091), (3, 0.0119519895), (4, 0.011820406)]"
29694,1.0,0.9194,"[(0, 0.020133596), (1, 0.91936415), (2, 0.02012783), (3, 0.020151906), (4, 0.020222465)]"
29695,1.0,0.9495,"[(0, 0.012646064), (1, 0.94948024), (2, 0.012672027), (3, 0.012615668), (4, 0.012585996)]"
29696,1.0,0.972,"[(1, 0.9719759)]"
29697,1.0,0.9699,"[(1, 0.9698602)]"
29698,1.0,0.8409,"[(1, 0.8409487), (3, 0.135776)]"
29699,1.0,0.9573,"[(0, 0.010759622), (1, 0.9572689), (2, 0.0107415775), (3, 0.010680981), (4, 0.010548982)]"
29700,1.0,0.9493,"[(0, 0.012655808), (1, 0.94934666), (2, 0.012679066), (3, 0.012702211), (4, 0.012616287)]"
29701,1.0,0.9422,"[(0, 0.014406437), (1, 0.9422167), (2, 0.014397006), (3, 0.014575965), (4, 0.014403892)]"
29702,1.0,0.9831,"[(1, 0.9830509)]"
29703,1.0,0.99,"[(1, 0.9899704)]"
29704,1.0,0.9827,"[(1, 0.98265076)]"
29705,1.0,0.9573,"[(0, 0.010708121), (1, 0.9573498), (2, 0.010686348), (3, 0.010667013), (4, 0.01058875)]"
29706,1.0,0.9806,"[(1, 0.98063034)]"
29707,1.0,0.8982,"[(0, 0.025507241), (1, 0.8982034), (2, 0.025197461), (3, 0.026047776), (4, 0.025044164)]"
29708,1.0,0.9812,"[(1, 0.98120666)]"
29709,1.0,0.9615,"[(1, 0.96145767)]"
29710,1.0,0.8648,"[(0, 0.033948354), (1, 0.86483574), (2, 0.033985037), (3, 0.03378699), (4, 0.03344385)]"
29711,1.0,0.9787,"[(1, 0.9787297)]"
29712,1.0,0.8634,"[(0, 0.036344197), (1, 0.863401), (2, 0.033337444), (3, 0.033573553), (4, 0.033343807)]"
29713,1.0,0.9746,"[(1, 0.9745724)]"
29714,1.0,0.985,"[(1, 0.98503715)]"
29715,1.0,0.9594,"[(0, 0.0101373885), (1, 0.95935166), (2, 0.010041924), (3, 0.010439667), (4, 0.010029412)]"
29716,1.0,0.9378,"[(0, 0.015656868), (1, 0.9378055), (2, 0.015528134), (3, 0.015566081), (4, 0.015443451)]"
29717,1.0,0.9871,"[(1, 0.98712957)]"
29718,1.0,0.9903,"[(1, 0.9903468)]"
29719,1.0,0.6359,"[(0, 0.014633266), (1, 0.6359093), (2, 0.014521144), (3, 0.25343767), (4, 0.081498586)]"
29720,1.0,0.9866,"[(1, 0.98658234)]"
29721,1.0,0.9324,"[(0, 0.016927646), (1, 0.9324179), (2, 0.01673845), (3, 0.017036913), (4, 0.016879046)]"
29722,3.0,0.4932,"[(1, 0.48599792), (3, 0.49318781)]"
29723,1.0,0.5433,"[(0, 0.14204223), (1, 0.5433278), (3, 0.30503306)]"
29724,2.0,0.5929,"[(0, 0.10020264), (1, 0.103126384), (2, 0.5928716), (3, 0.10378348), (4, 0.10001591)]"
29725,1.0,0.9041,"[(1, 0.9040965), (3, 0.08734182)]"
29726,1.0,0.7974,"[(0, 0.051109463), (1, 0.7974352), (2, 0.050735675), (3, 0.05030574), (4, 0.050413925)]"
29727,1.0,0.976,"[(1, 0.97602475)]"
29728,1.0,0.974,"[(1, 0.9740069)]"
29729,1.0,0.7871,"[(1, 0.78707135), (3, 0.19765793)]"
29730,1.0,0.9859,"[(1, 0.98592603)]"
29731,1.0,0.8387,"[(0, 0.040089015), (1, 0.83865786), (2, 0.040138558), (3, 0.04087601), (4, 0.040238578)]"
29732,1.0,0.9646,"[(1, 0.96455616)]"
29733,1.0,0.949,"[(0, 0.012839373), (1, 0.9489738), (2, 0.0126581155), (3, 0.0128077995), (4, 0.012720919)]"
29734,1.0,0.9117,"[(0, 0.07449722), (1, 0.91171414)]"
29735,1.0,0.9804,"[(1, 0.98044044)]"
29736,1.0,0.9837,"[(1, 0.98368543)]"
29737,1.0,0.9648,"[(1, 0.9647906)]"
29738,1.0,0.9798,"[(1, 0.979808)]"
29739,1.0,0.9753,"[(1, 0.97534835)]"
29740,1.0,0.9908,"[(1, 0.9907623)]"
29741,1.0,0.9892,"[(1, 0.9891703)]"
29742,1.0,0.9841,"[(1, 0.9840505)]"
29743,1.0,0.9947,"[(1, 0.9947258)]"
29744,1.0,0.9969,"[(1, 0.9969424)]"
29745,1.0,0.9321,"[(0, 0.01681553), (1, 0.93210846), (2, 0.017034104), (3, 0.016847773), (4, 0.017194109)]"
29746,1.0,0.7965,"[(0, 0.050598864), (1, 0.7964506), (2, 0.051043525), (3, 0.051496435), (4, 0.050410602)]"
29747,1.0,0.6255,"[(1, 0.62552685), (3, 0.3501726)]"
29748,1.0,0.9835,"[(1, 0.9834772)]"
29749,1.0,0.9721,"[(1, 0.97208333)]"
29750,1.0,0.9649,"[(1, 0.96490854)]"
29751,1.0,0.9832,"[(1, 0.98318076)]"
29752,1.0,0.986,"[(1, 0.9859855)]"
29753,1.0,0.837,"[(0, 0.041444596), (1, 0.8369668), (2, 0.040497445), (3, 0.040799506), (4, 0.04029163)]"
29754,1.0,0.946,"[(0, 0.01351169), (1, 0.9459618), (2, 0.013620926), (3, 0.013496327), (4, 0.013409307)]"
29755,1.0,0.9831,"[(1, 0.983079)]"
29756,1.0,0.9851,"[(1, 0.98511565)]"
29757,1.0,0.989,"[(1, 0.9889848)]"
29758,1.0,0.9418,"[(0, 0.014468153), (1, 0.94181263), (2, 0.0148728), (3, 0.0145128695), (4, 0.014333511)]"
29759,1.0,0.9726,"[(1, 0.9725622)]"
29760,1.0,0.9767,"[(1, 0.9767313)]"
29761,1.0,0.9862,"[(1, 0.98620236)]"
29762,1.0,0.971,"[(1, 0.9709541)]"
29763,1.0,0.9787,"[(1, 0.9787093)]"
29764,1.0,0.8597,"[(0, 0.010094359), (1, 0.85966057), (2, 0.010223203), (3, 0.109936796), (4, 0.010085082)]"
29765,1.0,0.7218,"[(1, 0.72181183), (3, 0.25962356)]"
29766,1.0,0.9646,"[(1, 0.964575)]"
29767,1.0,0.9547,"[(0, 0.011212402), (1, 0.954728), (2, 0.011275583), (3, 0.011435242), (4, 0.011348806)]"
29768,1.0,0.8388,"[(0, 0.040603276), (1, 0.8388074), (2, 0.040409625), (3, 0.040174358), (4, 0.040005367)]"
29769,1.0,0.9687,"[(1, 0.96872914)]"
29770,1.0,0.932,"[(0, 0.016832191), (1, 0.9320442), (2, 0.017058304), (3, 0.016841494), (4, 0.017223822)]"
29771,1.0,0.9524,"[(0, 0.011866655), (1, 0.9523964), (2, 0.011868565), (3, 0.012047706), (4, 0.011820677)]"
29772,1.0,0.9595,"[(0, 0.010106789), (1, 0.9595046), (2, 0.010101575), (3, 0.010229319), (4, 0.010057696)]"
29773,1.0,0.903,"[(1, 0.90301955), (4, 0.0784441)]"
29774,1.0,0.9004,"[(1, 0.900389), (3, 0.087960444)]"
29775,1.0,0.9321,"[(0, 0.01687312), (1, 0.9321304), (2, 0.017186293), (3, 0.016935619), (4, 0.016874593)]"
29776,1.0,0.9422,"[(0, 0.014361248), (1, 0.94223994), (2, 0.014364975), (3, 0.014449325), (4, 0.0145844845)]"
29777,1.0,0.8553,"[(1, 0.8552828), (3, 0.13125427)]"
29778,2.0,0.5407,"[(0, 0.02943301), (1, 0.37145826), (2, 0.54066104), (3, 0.028887553), (4, 0.029560115)]"
29779,1.0,0.7984,"[(0, 0.050552085), (1, 0.7983628), (2, 0.05014168), (3, 0.050537508), (4, 0.050405867)]"
29780,1.0,0.9663,"[(1, 0.9662884)]"
29781,1.0,0.9823,"[(1, 0.98228323)]"
29782,1.0,0.9521,"[(0, 0.011905933), (1, 0.9520718), (2, 0.011912252), (3, 0.012208878), (4, 0.011901072)]"
29783,1.0,0.9895,"[(1, 0.9894977)]"
29784,1.0,0.7024,"[(0, 0.022567386), (1, 0.702379), (2, 0.02245181), (3, 0.23019189), (4, 0.022409925)]"
29785,1.0,0.7023,"[(1, 0.7023457), (3, 0.27003935)]"
29786,1.0,0.9834,"[(1, 0.9834239)]"
29787,1.0,0.9701,"[(1, 0.97009385)]"
29788,1.0,0.9737,"[(1, 0.9737394)]"
29789,1.0,0.9711,"[(1, 0.97114503)]"
29790,1.0,0.9895,"[(1, 0.989462)]"
29791,1.0,0.9421,"[(0, 0.014464268), (1, 0.94210577), (2, 0.01436446), (3, 0.014485975), (4, 0.014579541)]"
29792,1.0,0.9491,"[(0, 0.01274053), (1, 0.9491278), (2, 0.012669507), (3, 0.0127545), (4, 0.012707718)]"
29793,1.0,0.9422,"[(0, 0.014432895), (1, 0.9422003), (2, 0.014347573), (3, 0.014497943), (4, 0.014521266)]"
29794,1.0,0.8983,"[(0, 0.025792249), (1, 0.89825934), (2, 0.02525175), (3, 0.025556732), (4, 0.025139906)]"
29795,1.0,0.8379,"[(0, 0.040609177), (1, 0.8379064), (2, 0.0407068), (3, 0.040391207), (4, 0.04038634)]"
29796,1.0,0.9616,"[(1, 0.9615832)]"
29797,1.0,0.9712,"[(1, 0.9711637)]"
29798,1.0,0.9192,"[(0, 0.020060286), (1, 0.91923225), (2, 0.02040775), (3, 0.02017825), (4, 0.020121397)]"
29799,1.0,0.9329,"[(0, 0.016818348), (1, 0.9329047), (2, 0.016791586), (3, 0.016737133), (4, 0.016748235)]"
29800,1.0,0.9462,"[(0, 0.013425547), (1, 0.9461981), (2, 0.013416248), (3, 0.013513536), (4, 0.013446578)]"
29801,1.0,0.9762,"[(1, 0.976166)]"
29802,3.0,0.5448,"[(1, 0.4299038), (3, 0.5447723)]"
29803,1.0,0.99,"[(1, 0.9899894)]"
29804,1.0,0.9462,"[(0, 0.01341898), (1, 0.946168), (2, 0.0134711), (3, 0.013401796), (4, 0.013540106)]"
29805,1.0,0.7988,"[(1, 0.7987875), (3, 0.1778624)]"
29806,1.0,0.8373,"[(0, 0.040752757), (1, 0.8373165), (2, 0.040685534), (3, 0.041059777), (4, 0.040185392)]"
29807,1.0,0.9721,"[(1, 0.9720825)]"
29808,1.0,0.9258,"[(0, 0.01832553), (1, 0.92577845), (2, 0.018435309), (3, 0.01840954), (4, 0.019051133)]"
29809,1.0,0.9754,"[(1, 0.9754124)]"
29810,1.0,0.9841,"[(1, 0.9840724)]"
29811,1.0,0.9803,"[(1, 0.98034394), (4, 0.012783845)]"
29812,1.0,0.9175,"[(1, 0.91745013), (3, 0.06469218)]"
29813,1.0,0.8689,"[(1, 0.86889106), (3, 0.110892825)]"
29814,1.0,0.9489,"[(0, 0.012598932), (1, 0.9489111), (2, 0.012719687), (3, 0.012699754), (4, 0.013070572)]"
29815,1.0,0.9663,"[(1, 0.96632147)]"
29816,1.0,0.9929,"[(1, 0.9928578)]"
29817,1.0,0.9793,"[(1, 0.9792547)]"
29818,1.0,0.7979,"[(1, 0.79793674), (3, 0.19051975)]"
29819,1.0,0.8881,"[(1, 0.8881462), (3, 0.09086392)]"
29820,1.0,0.983,"[(1, 0.98300153)]"
29821,1.0,0.9728,"[(1, 0.9728392)]"
29822,1.0,0.9824,"[(1, 0.982356)]"
29823,3.0,0.5992,"[(0, 0.100002654), (1, 0.10083372), (2, 0.10000354), (3, 0.5991531), (4, 0.100007005)]"
29824,1.0,0.932,"[(1, 0.9320384), (3, 0.052669533)]"
29825,1.0,0.9896,"[(1, 0.9896157)]"
29826,1.0,0.8122,"[(1, 0.81220496), (3, 0.18704955)]"
29827,1.0,0.9795,"[(1, 0.97948563)]"
29828,3.0,0.6137,"[(1, 0.3598438), (3, 0.61374307)]"
29829,1.0,0.8745,"[(1, 0.8745347), (4, 0.10641216)]"
29830,1.0,0.9377,"[(0, 0.015650336), (1, 0.9376981), (2, 0.01567484), (3, 0.015569141), (4, 0.015407512)]"
29831,1.0,0.9491,"[(0, 0.012560275), (1, 0.9491001), (2, 0.012602743), (3, 0.012918117), (4, 0.012818818)]"
29832,1.0,0.9101,"[(0, 0.022279443), (1, 0.9101346), (2, 0.022340452), (3, 0.022871159), (4, 0.022374338)]"
29833,1.0,0.97,"[(1, 0.97002256)]"
29834,1.0,0.9687,"[(1, 0.9686737)]"
29835,1.0,0.9572,"[(1, 0.9571962), (3, 0.03509406)]"
29836,1.0,0.9707,"[(1, 0.9707399)]"
29837,1.0,0.8892,"[(1, 0.8891754), (3, 0.10397529)]"
29838,1.0,0.968,"[(1, 0.9679791), (4, 0.024618194)]"
29839,1.0,0.9826,"[(1, 0.98259085)]"
29840,1.0,0.8383,"[(1, 0.8382894), (3, 0.14679483)]"
29841,1.0,0.9845,"[(1, 0.98445696)]"
29842,1.0,0.9267,"[(0, 0.018258633), (1, 0.926709), (2, 0.01846807), (3, 0.018295122), (4, 0.01826922)]"
29843,3.0,0.7577,"[(0, 0.022770068), (1, 0.17447352), (2, 0.02261649), (3, 0.7577321), (4, 0.022407832)]"
29844,1.0,0.9329,"[(0, 0.016726624), (1, 0.93286175), (2, 0.016815847), (3, 0.016846083), (4, 0.016749693)]"
29845,1.0,0.9831,"[(1, 0.9831035)]"
29846,1.0,0.9776,"[(1, 0.977558)]"
29847,1.0,0.9886,"[(1, 0.9885982)]"
29848,1.0,0.9897,"[(1, 0.98970765)]"
29849,1.0,0.9738,"[(1, 0.97377527)]"
29850,1.0,0.9098,"[(0, 0.022496127), (1, 0.9098313), (2, 0.022549992), (3, 0.022521082), (4, 0.022601552)]"
29851,1.0,0.7026,"[(1, 0.702641), (2, 0.056138527), (3, 0.2318955)]"
29852,1.0,0.9721,"[(1, 0.97211117)]"
29853,1.0,0.9896,"[(1, 0.9896074)]"
29854,1.0,0.8983,"[(1, 0.898291), (3, 0.09683968)]"
29855,1.0,0.9457,"[(0, 0.013547127), (1, 0.94573224), (2, 0.013735257), (3, 0.01353469), (4, 0.01345067)]"
29856,1.0,0.9861,"[(1, 0.98613423)]"
29857,1.0,0.9927,"[(1, 0.99273014)]"
29858,1.0,0.931,"[(1, 0.93104947), (4, 0.05954334)]"
29859,1.0,0.9847,"[(1, 0.9846693)]"
29860,1.0,0.815,"[(0, 0.018332433), (1, 0.815015), (2, 0.01838866), (3, 0.018506099), (4, 0.1297578)]"
29861,1.0,0.9722,"[(1, 0.972186)]"
29862,1.0,0.9867,"[(1, 0.98671794)]"
29863,1.0,0.9717,"[(1, 0.971691)]"
29864,1.0,0.9362,"[(0, 0.015908482), (1, 0.9362163), (2, 0.015874553), (3, 0.015751429), (4, 0.016249225)]"
29865,1.0,0.9596,"[(1, 0.95959693), (3, 0.033691224)]"
29866,1.0,0.9854,"[(1, 0.9854139)]"
29867,1.0,0.9264,"[(0, 0.01824799), (1, 0.9263609), (2, 0.018323788), (3, 0.018400148), (4, 0.01866718)]"
