문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
189,1.0,0.7754,"[(1, 0.7753632), (3, 0.20133004)]"
190,1.0,0.9361,"[(1, 0.9361167), (3, 0.059624437)]"
191,1.0,0.9739,"[(1, 0.9739222)]"
192,1.0,0.8892,"[(1, 0.88921773), (3, 0.09517356)]"
193,1.0,0.8645,"[(0, 0.034154955), (1, 0.8644963), (2, 0.03358456), (3, 0.03412796), (4, 0.03363623)]"
194,1.0,0.9798,"[(1, 0.9797727)]"
195,1.0,0.8293,"[(0, 0.14419532), (1, 0.82934344)]"
196,1.0,0.9921,"[(1, 0.99212736)]"
197,1.0,0.9575,"[(0, 0.010612449), (1, 0.95752335), (2, 0.01063073), (3, 0.010590188), (4, 0.010643267)]"
198,1.0,0.9661,"[(1, 0.96614367)]"
199,1.0,0.9861,"[(1, 0.9860648)]"
200,1.0,0.9523,"[(1, 0.95232177), (3, 0.044884756)]"
201,1.0,0.9793,"[(1, 0.979303)]"
202,1.0,0.9836,"[(1, 0.98363626), (3, 0.01316836)]"
203,1.0,0.9399,"[(1, 0.93987656), (3, 0.053226065)]"
204,1.0,0.9938,"[(1, 0.99382305)]"
205,1.0,0.9381,"[(0, 0.0154498285), (1, 0.9380602), (2, 0.015485119), (3, 0.015509565), (4, 0.015495236)]"
206,1.0,0.998,"[(1, 0.99800545)]"
207,1.0,0.978,"[(1, 0.9779833)]"
208,1.0,0.9423,"[(0, 0.014378006), (1, 0.9422582), (2, 0.014377299), (3, 0.014589034), (4, 0.014397492)]"
209,1.0,0.9835,"[(1, 0.98348254)]"
210,1.0,0.9815,"[(1, 0.9815454)]"
211,1.0,0.9954,"[(1, 0.99535996)]"
212,1.0,0.9875,"[(1, 0.9875107)]"
213,1.0,0.9835,"[(1, 0.9834577)]"
214,1.0,0.829,"[(1, 0.82904744), (3, 0.15094717)]"
215,1.0,0.984,"[(1, 0.9840485)]"
216,1.0,0.9844,"[(1, 0.9843843)]"
